지점,지점명,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상,전운량(1/8),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형,2층 운형,3층 운형,4층 운형,1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
113,인천공항,2026-01-01 01:00,340,15,,10000,,0,,,,,,,,,,,,,-7.4,-17,1029.7,1028.8,
113,인천공항,2026-01-01 02:00,350,13,,10000,,0,,,,,,,,,,,,,-7.6,-16.7,1029.5,1028.6,
113,인천공항,2026-01-01 03:00,360,12,,10000,,0,,,,,,,,,,,,,-7.8,-17.4,1029.5,1028.6,
113,인천공항,2026-01-01 04:00,350,11,,10000,,0,,,,,,,,,,,,,-8.1,-17.6,1028.9,1028,
113,인천공항,2026-01-01 05:00,350,15,,10000,,0,,,,,,,,,,,,,-8.2,-18.3,1028.8,1027.9,
113,인천공항,2026-01-01 06:00,340,8,,10000,,4,4,,,,0,,,,20000,,,,-8.7,-17.1,1028.7,1027.8,
113,인천공항,2026-01-01 07:00,340,9,,10000,,6,6,,,,0,,,,20000,,,,-8.6,-18.3,1029.1,1028.2,
113,인천공항,2026-01-01 08:00,330,11,,10000,,7,7,,,,0,,,,20000,,,,-8.9,-19.8,1029.3,1028.4,
113,인천공항,2026-01-01 09:00,330,10,,10000,,2,2,,,,0,,,,20000,,,,-8.3,-20.2,1029.4,1028.5,
113,인천공항,2026-01-01 10:00,330,11,,10000,,0,,,,,,,,,,,,,-7,-20.4,1029.9,1029,
113,인천공항,2026-01-01 11:00,340,10,,10000,,0,,,,,,,,,,,,,-6.2,-19.6,1029.7,1028.8,
113,인천공항,2026-01-01 12:00,330,10,,10000,,0,,,,,,,,,,,,,-5.5,-18.4,1028.6,1027.7,
113,인천공항,2026-01-01 13:00,320,11,,10000,,0,,,,,,,,,,,,,-5.1,-18.9,1027.7,1026.8,
113,인천공항,2026-01-01 14:00,320,11,,10000,,0,,,,,,,,,,,,,-4.2,-19.4,1027,1026.1,
113,인천공항,2026-01-01 15:00,310,12,,10000,,1,1,,,,6,,,,6000,,,,-3.9,-18.2,1026.6,1025.7,
113,인천공항,2026-01-01 16:00,280,12,,10000,,2,2,,,,6,,,,6000,,,,-4.5,-16.4,1026.5,1025.6,
113,인천공항,2026-01-01 17:00,300,11,,10000,,0,,,,,,,,,,,,,-5.1,-17.7,1026.4,1025.5,
113,인천공항,2026-01-01 18:00,320,12,,10000,,0,,,,,,,,,,,,,-5.5,-16.2,1026.5,1025.6,
113,인천공항,2026-01-01 19:00,310,15,,10000,,0,,,,,,,,,,,,,-5.7,-18,1026.5,1025.6,
113,인천공항,2026-01-01 20:00,320,18,,10000,,0,,,,,,,,,,,,,-6.4,-16.5,1026.6,1025.7,
113,인천공항,2026-01-01 21:00,330,13,26,10000,,0,,,,,,,,,,,,,-7.3,-16.2,1026.5,1025.6,
113,인천공항,2026-01-01 22:00,340,11,,10000,,0,,,,,,,,,,,,,-7.4,-16.5,1026.8,1025.9,
113,인천공항,2026-01-01 23:00,350,13,,10000,,0,,,,,,,,,,,,,-7.8,-17.6,1026.7,1025.8,
113,인천공항,2026-01-02 00:00,340,15,,10000,,0,,,,,,,,,,,,,-8.1,-19.6,1026.6,1025.7,
113,인천공항,2026-01-02 01:00,340,14,,10000,,0,,,,,,,,,,,,,-8.4,-19.7,1026.4,1025.5,
113,인천공항,2026-01-02 02:00,340,14,,10000,,0,,,,,,,,,,,,,-8.9,-20.3,1026.3,1025.4,
113,인천공항,2026-01-02 03:00,340,14,,10000,,0,,,,,,,,,,,,,-9.5,-19.3,1026.6,1025.7,
113,인천공항,2026-01-02 04:00,330,9,,10000,,0,,,,,,,,,,,,,-9.8,-19.1,1026.8,1025.9,
113,인천공항,2026-01-02 05:00,350,10,,10000,,0,,,,,,,,,,,,,-9.9,-18.5,1026.7,1025.8,
113,인천공항,2026-01-02 06:00,360,7,,10000,,0,,,,,,,,,,,,,-10,-18.9,1026.7,1025.8,
