지점,지점명,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상,전운량(1/8),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형,2층 운형,3층 운형,4층 운형,1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
113,인천공항,2025-01-03 19:00,270,8,,10000,70.0,7,4.0,7.0,,,6.0,6.0,,,2000.0,4500.0,,,1.1,-2.9,1026.3,1025.4,0.0
113,인천공항,2025-01-05 02:00,140,7,,10000,68.0,8,6.0,8.0,,,6.0,4.0,,,3500.0,10000.0,,,1.8,-2.6,1023.1,1022.2,0.0
113,인천공항,2025-01-05 03:00,140,9,,10000,68.0,8,7.0,8.0,,,6.0,4.0,,,3500.0,10000.0,,,1.8,-2.8,1022.8,1021.9,0.0
113,인천공항,2025-01-05 04:00,150,9,,10000,68.0,7,5.0,7.0,,,6.0,4.0,,,4000.0,10000.0,,,1.9,-2.0,1022.3,1021.4,0.0
113,인천공항,2025-01-05 05:00,140,10,,10000,68.0,8,7.0,8.0,,,6.0,4.0,,,3000.0,10000.0,,,1.6,-1.2,1021.4,1020.5,0.1
113,인천공항,2025-01-09 00:00,320,22,,8000,70.0,6,2.0,6.0,,,7.0,6.0,,,1500.0,3000.0,,,-6.8,-13.3,1025.3,1024.4,0.0
113,인천공항,2025-01-13 07:00,120,6,,8000,70.0,7,7.0,,,,6.0,,,,4000.0,,,,-1.9,-6.3,1027.0,1026.1,0.0
113,인천공항,2025-01-14 02:00,130,5,,2500,68.0,8,5.0,7.0,8.0,,6.0,6.0,4.0,,3500.0,6000.0,10000.0,,1.9,0.6,1023.7,1022.8,0.0
113,인천공항,2025-01-14 04:00,50,3,,3000,68.0,8,5.0,8.0,,,6.0,6.0,,,3000.0,6000.0,,,1.8,0.8,1023.5,1022.7,0.0
113,인천공항,2025-01-16 08:00,130,8,,10000,70.0,7,7.0,,,,6.0,,,,3500.0,,,,-1.3,-5.9,1026.1,1025.2,0.0
113,인천공항,2025-01-16 09:00,120,8,,8000,70.0,7,7.0,,,,6.0,,,,3000.0,,,,-1.1,-5.2,1026.3,1025.4,0.0
113,인천공항,2025-01-16 10:00,140,6,,10000,70.0,7,7.0,,,,6.0,,,,2500.0,,,,-0.7,-4.2,1026.3,1025.4,0.0
113,인천공항,2025-01-27 03:00,190,9,,5000,68.0,8,5.0,8.0,,,7.0,6.0,,,500.0,2500.0,,,1.4,0.3,1017.2,1016.4,0.5
113,인천공항,2025-01-27 04:00,190,8,,5000,68.0,8,5.0,8.0,,,7.0,6.0,,,400.0,2500.0,,,0.7,0.2,1016.2,1015.4,2.1
